1-10 Phenanthroline monohydrate	2-Hydroxyethilhidrazine	4-Hydroxytamoxifen	Abietic acid	Actinomycin D	Agelasine E	Alamethicin	Amantadine hydrochloride	Amiodarone hydrochloride	Amphotericin B	Anisomycin	Artemisinin	Basiliskamide	Benomyl	Brefeldin A	Caffeine	Calcium ionophore A23187	Camptothecin	Caspofungin	Cerulenin	Chlorpromazine hydrochloride	cis-diamminedichloroplatinum (II) Cisplatin	Clomiphene citrate	Clotrimazole	Coniine	Cyclopiazonic acid	Cytochalasin A	Desipramine hydrochloride	Doxycycline hyclate	Dyclonine hydrochloride	Emetine dihydrochloride hydrate	Emodin	Extract 00-132	Extract 00-243	Extract 00-303C	Extract 00-89	Extract 6592	Extract 95-57	Fenpropimorph	FK506	Fluconazole	Geldanamycin	Haloperidol	Harmine hydrochloride	Hoechst 33258	Hydrogen peroxide	Hydroxyurea	Hygromycin B	Latrunculin B	LY 294002 hydrochloride	Menthol	Methanesulfonic acid methyl ester (MMS)	Mitomycin C	Neomycin B trisulfate salt hydrate	Nigericin	Nocodazole	Nystatin dihydrate	Oligomycin	Papuamide B	Parthenolide	Pentamidine isethionate	Phenylarsine oxide	Plumbagin	Radicicol	Raloxifene hydrochloride	Rapamycin	Sodium azide	Staurosporine	Stichloroside	Sulfometuron methyl	Tamoxifen	Theopalauamide	Thialysine	Trichostatin A	Trifluoroperazine dihydrochloride	Tunicamycin	U-73122	Usnic acid	Valinomycin	Verrucarin	Wortmannin	term id	term name
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	string
																																																																																	meta	meta
0.135	0.000	0.000	0.000	0.067	0.000	0.120	0.297	0.712	0.000	0.000	0.000	0.000	0.063	0.000	0.082	0.056	0.055	0.294	0.592	0.057	0.000	0.065	0.060	0.000	0.076	0.000	0.098	0.000	0.000	0.097	0.000	0.806	0.000	0.201	0.000	0.000	0.347	0.000	0.000	0.062	0.000	0.000	0.000	0.256	0.078	0.000	0.078	0.000	0.000	0.000	0.000	0.000	0.630	0.135	0.177	0.000	0.055	0.351	0.000	0.245	0.000	0.000	0.069	0.110	0.052	0.000	0.200	0.521	0.000	0.132	0.506	0.000	0.000	0.079	0.124	0.000	0.000	0.495	0.070	0.296	GO:0000754	adaptation to pheromone during conjugation with cellular fusion
0.318	0.000	0.015	0.000	0.019	0.000	0.130	0.184	0.166	0.037	0.000	0.016	0.046	0.312	0.000	0.157	0.015	0.247	0.253	0.043	0.015	0.142	0.015	0.025	0.000	0.015	0.203	0.043	0.046	0.018	0.017	0.055	0.212	0.023	0.054	0.047	0.000	0.141	0.024	0.000	0.028	0.021	0.000	0.000	0.000	0.072	0.050	0.077	0.350	0.000	0.043	0.147	0.150	0.216	0.048	0.732	0.000	0.019	0.347	0.055	0.211	0.202	0.030	0.147	0.103	0.060	0.044	0.097	0.225	0.068	0.000	0.162	0.021	0.127	0.016	0.000	0.000	0.071	0.233	0.015	0.105	GO:0007017	microtubule-based process
0.158	0.149	0.025	0.008	0.142	0.057	0.026	0.218	0.148	0.050	0.000	0.065	0.055	0.244	0.066	0.077	0.017	0.754	0.168	0.113	0.031	0.442	0.006	0.042	0.006	0.014	0.045	0.145	0.078	0.007	0.019	0.068	0.191	0.009	0.035	0.047	0.021	0.262	0.037	0.007	0.035	0.056	0.008	0.049	0.029	0.350	0.558	0.113	0.077	0.009	0.053	0.899	0.272	0.157	0.033	0.246	0.066	0.007	0.151	0.025	0.170	0.081	0.006	0.033	0.043	0.030	0.122	0.023	0.157	0.020	0.042	0.103	0.024	0.071	0.035	0.006	0.026	0.065	0.150	0.079	0.150	GO:0006281	DNA repair
0.136	0.013	0.222	0.041	0.250	0.085	0.157	0.344	0.278	0.105	0.012	0.113	0.122	0.166	0.109	0.340	0.026	0.095	0.387	0.257	0.149	0.054	0.028	0.045	0.011	0.029	0.244	0.472	0.297	0.000	0.066	0.146	0.296	0.028	0.233	0.086	0.073	0.372	0.000	0.019	0.300	0.502	0.000	0.000	0.097	0.304	0.056	0.367	0.245	0.043	0.102	0.110	0.103	0.142	0.452	0.146	0.000	0.053	0.591	0.086	0.240	0.374	0.125	0.359	0.166	0.261	0.157	0.096	0.135	0.125	0.069	0.158	0.076	0.122	0.121	0.134	0.106	0.117	0.328	0.126	0.260	GO:0016044	membrane organization and biogenesis
0.259	0.018	0.108	0.012	0.078	0.036	0.239	0.194	0.281	0.176	0.000	0.039	0.052	0.059	0.028	0.056	0.026	0.080	0.355	0.161	0.028	0.000	0.012	0.044	0.023	0.020	0.182	0.167	0.048	0.058	0.065	0.040	0.575	0.018	0.051	0.019	0.071	0.159	0.100	0.018	0.096	0.132	0.035	0.000	0.020	0.158	0.000	0.202	0.165	0.000	0.054	0.027	0.046	0.158	0.125	0.097	0.050	0.019	0.628	0.025	0.170	0.117	0.000	0.088	0.013	0.118	0.055	0.118	0.604	0.028	0.018	0.479	0.000	0.074	0.087	0.026	0.049	0.120	0.187	0.098	0.349	GO:0030036	actin cytoskeleton organization and biogenesis
0.183	0.005	0.072	0.020	0.087	0.075	0.213	0.272	0.329	0.150	0.008	0.044	0.072	0.011	0.058	0.126	0.016	0.082	0.510	0.123	0.048	0.000	0.029	0.164	0.013	0.000	0.139	0.193	0.091	0.011	0.020	0.021	0.443	0.028	0.069	0.040	0.033	0.145	0.034	0.036	0.114	0.098	0.011	0.000	0.081	0.104	0.020	0.218	0.153	0.011	0.063	0.055	0.062	0.244	0.122	0.071	0.037	0.017	0.696	0.012	0.221	0.111	0.018	0.088	0.067	0.155	0.092	0.213	0.457	0.019	0.091	0.401	0.035	0.033	0.068	0.043	0.057	0.114	0.235	0.081	0.271	GO:0007047	cell wall organization and biogenesis
0.219	0.000	0.200	0.000	0.094	0.099	0.000	0.497	0.206	0.137	0.000	0.000	0.134	0.283	0.000	0.240	0.000	0.000	0.276	0.332	0.156	0.000	0.000	0.000	0.000	0.097	0.124	0.142	0.000	0.000	0.108	0.000	0.339	0.000	0.000	0.162	0.000	0.281	0.000	0.000	0.328	0.311	0.186	0.000	0.000	0.556	0.116	0.000	0.187	0.000	0.000	0.000	0.138	0.297	0.119	0.368	0.000	0.000	0.232	0.000	0.484	0.164	0.000	0.200	0.086	0.203	0.000	0.120	0.088	0.000	0.091	0.000	0.000	0.000	0.355	0.000	0.196	0.000	0.000	0.000	0.100	GO:0042026	protein refolding
0.128	0.046	0.129	0.045	0.056	0.063	0.031	0.298	0.317	0.147	0.019	0.141	0.137	0.164	0.087	0.074	0.016	0.032	0.355	0.130	0.043	0.035	0.060	0.116	0.033	0.028	0.099	0.212	0.154	0.014	0.062	0.124	0.208	0.041	0.168	0.097	0.097	0.407	0.079	0.031	0.101	0.141	0.055	0.019	0.043	0.240	0.077	0.171	0.065	0.008	0.102	0.177	0.021	0.322	0.112	0.135	0.089	0.030	0.199	0.057	0.270	0.213	0.084	0.074	0.127	0.090	0.182	0.085	0.239	0.037	0.087	0.146	0.025	0.104	0.089	0.110	0.065	0.169	0.204	0.079	0.232	GO:0006873	cell ion homeostasis
